id,NAME,serial,computermodels_ID,computerTypes_ID,manufacturers_ID,States_ID,UUID
2,"109-05","CZC2361LL8",4,5,3,1,"109-05-2012-10-16-13-40-16"
4,"109-08","CZC2361LKR",4,5,3,1,"109-08-2012-10-19-08-37-35"
5,"109-10","CZC2361LKM",4,5,3,1,"109-10-2012-10-16-13-52-04"
6,"109-06","CZC2361LKT",4,5,3,1,"109-06-2012-10-19-09-14-03"
7,"109-09","CZC2361LKQ",4,5,3,1,"109-09-2012-10-08-11-04-29"
8,"109-04","CZC2361LKS",4,5,3,1,"109-04-2012-10-16-19-35-23"
9,"109-15","CZC2361LL0",4,5,3,1,"109-15-2012-10-17-11-43-19"
10,"109-11","CZC2361LLK",4,5,3,1,"109-11-2012-10-16-19-30-26"
11,"109-14","CZC2361LKP",4,5,3,1,"109-14-2012-10-16-15-23-38"
12,"109-12","CZC2361LKY",4,5,3,1,"109-12-2012-10-17-12-13-43"
17,"109-07","CZC2361LL1",4,5,3,1,"109-07-2012-10-17-09-40-30"
18,"201-07","CZC9362Z7Y",6,4,3,1,"201-07-2012-12-20-23-26-37"
19,"204-09","CZC8260ZMG",5,4,3,1,"204-09-2012-12-06-21-48-11"
20,"109-03","CZC2361LLB",4,5,3,1,"109-03-2012-10-17-09-35-23"
24,"204-11","CZC8260ZM3",5,4,3,1,"204-11-2012-12-13-12-03-09"
25,"204-12","CZC8260ZM2",5,4,3,1,"204-12-2012-12-18-09-35-13"
26,"204-03","CZC8260ZM4",5,4,3,1,"204-03-2012-12-11-10-14-18"
29,"204-06","CZC8260ZM9",5,4,3,1,"204-06-2012-12-17-15-48-32"
31,"204-04","CZC826540L",5,4,3,1,"204-04-2012-12-06-20-44-29"
32,"108-03","14C5B5J",13,5,2,1,"108-03-2012-09-24-14-36-40"
35,"108-04","F4C5B5J",13,5,2,1,"108-04-2012-09-24-14-24-38"
37,"108-10","G4C5B5J",13,5,2,1,"108-10-2012-10-05-18-47-42"
38,"108-12","94C5B5J",13,5,2,1,"108-12-2012-09-24-14-27-29"
39,"108-14","84C5B5J",13,5,2,1,"108-14-2012-09-24-14-29-49"
40,"108-13","J3C5B5J",13,5,2,1,"108-13-2012-10-05-18-38-11"
42,"108-09","H4C5B5J",13,5,2,1,"108-09-2012-09-24-13-38-25"
43,"201-06","CZC9352H6P",6,4,3,1,"201-06-2012-12-05-09-41-05"
44,"108-11","34C5B5J",13,5,2,1,"108-11-2012-09-24-14-25-56"
46,"201-13","CZC9362ZBB",6,4,3,1,"201-13-2012-12-11-08-01-24"
47,"201-16","CZC9362ZFR",6,4,3,1,"201-16-2012-12-18-14-38-23"
52,"204-10","CZC8260ZM5",5,4,3,1,"204-10-2012-12-13-16-22-28"
53,"204-15","CZC826540F",5,4,3,1,"204-15-2012-12-19-14-23-33"
54,"201-04","CZC9362ZBN",6,4,3,1,"201-04-2012-12-04-06-06-02"
60,"204-02","CZC826540G",5,4,3,1,"204-02-2012-12-11-09-48-32"
64,"201-01","CZC9362ZBJ",6,4,3,1,"201-01-2012-12-04-07-36-19"
67,"204-07","CZC8260ZMB",5,4,3,1,"204-07-2012-12-19-15-16-43"
71,"204-05","CZC8260ZM7",5,4,3,1,"204-05-2012-12-14-02-11-19"
73,"204-08","CZC8260ZM1",5,4,3,1,"204-08-2012-12-12-23-24-19"
74,"201-15","CZC9362Z94",6,4,3,1,"201-15-2012-12-04-09-24-27"
