id, items_id, itemtype, devicememories_id, size, BusID
1,2,Computer,1,2048,1
2,4,Computer,1,2048,1
3,5,Computer,1,2048,1
4,6,Computer,1,2048,1
5,7,Computer,1,2048,1
6,8,Computer,1,2048,1
7,9,Computer,1,2048,1
8,10,Computer,1,2048,1
9,11,Computer,1,2048,1
10,12,Computer,1,2048,1
11,17,Computer,1,2048,1
12,18,Computer,2,1024,1
13,18,Computer,3,1,2
14,19,Computer,4,1024,1
15,19,Computer,3,1,2
16,20,Computer,1,2048,1
17,24,Computer,4,1024,1
18,24,Computer,3,1,2
19,25,Computer,4,1024,1
20,25,Computer,3,1,2
21,26,Computer,4,1024,1
22,26,Computer,3,1,2
23,29,Computer,4,1024,1
24,29,Computer,3,1,2
25,31,Computer,4,1024,1
26,31,Computer,3,1,2
27,32,Computer,5,2048,1
28,32,Computer,6,2048,2
29,35,Computer,5,2048,1
30,35,Computer,6,2048,2
31,37,Computer,5,2048,1
32,37,Computer,6,2048,2
33,38,Computer,5,2048,1
34,38,Computer,6,2048,2
35,39,Computer,5,2048,1
36,39,Computer,6,2048,2
37,40,Computer,5,2048,1
38,40,Computer,6,2048,2
39,42,Computer,5,2048,1
40,42,Computer,6,2048,2
41,43,Computer,2,1024,1
42,43,Computer,3,1,2
43,44,Computer,5,2048,1
44,44,Computer,6,2048,2
45,46,Computer,2,1024,1
46,46,Computer,3,1,2
47,47,Computer,2,1024,1
48,47,Computer,3,1,2
49,52,Computer,4,1024,1
50,52,Computer,3,1,2
51,53,Computer,4,1024,1
52,53,Computer,3,1,2
53,54,Computer,2,1024,1
54,54,Computer,3,1,2
55,60,Computer,4,1024,1
56,60,Computer,3,1,2
57,64,Computer,2,1024,1
58,64,Computer,3,1,2
59,67,Computer,4,1024,1
60,67,Computer,3,1,2
61,71,Computer,4,1024,1
62,71,Computer,3,1,2
63,73,Computer,4,1024,1
64,73,Computer,3,1,2
65,74,Computer,2,1024,1
66,74,Computer,3,1,2
67,75,Computer,2,1024,1
68,75,Computer,3,1,2
69,77,Computer,5,2048,1
70,77,Computer,6,2048,2
71,79,Computer,2,1024,1
72,79,Computer,3,1,2
73,83,Computer,2,1024,1
74,83,Computer,3,1,2
75,84,Computer,2,1024,1
76,84,Computer,3,1,2
77,88,Computer,2,1024,1
78,88,Computer,3,1,2
79,89,Computer,2,1024,1
80,89,Computer,3,1,2
81,91,Computer,7,256,1
82,91,Computer,8,256,2
83,91,Computer,3,1,3
84,93,Computer,2,1024,1
85,93,Computer,3,1,2
86,94,Computer,4,1024,1
87,94,Computer,3,1,2
88,95,Computer,2,1024,1
89,95,Computer,3,1,2
90,96,Computer,7,256,1
91,96,Computer,8,256,2
92,96,Computer,3,1,3
93,98,Computer,1,2048,1
94,100,Computer,9,1024,1
95,100,Computer,3,4,2
96,101,Computer,10,512,1
97,101,Computer,11,512,2
98,101,Computer,3,1,3
99,102,Computer,9,2048,1
100,102,Computer,3,1,2
101,103,Computer,12,2048,1
102,103,Computer,9,1024,2
103,103,Computer,3,4,3
104,104,Computer,12,2048,1
105,104,Computer,9,1024,2
106,104,Computer,3,4,3
107,105,Computer,9,1024,1
108,105,Computer,3,4,2
109,106,Computer,12,2048,1
110,106,Computer,9,1024,2
111,106,Computer,3,4,3
112,107,Computer,10,512,1
113,107,Computer,11,512,2
114,107,Computer,3,1,3
115,108,Computer,10,1024,1
116,108,Computer,11,1024,2
117,108,Computer,3,1,3
118,110,Computer,4,1024,1
119,110,Computer,3,1,2
120,112,Computer,2,1024,1
121,112,Computer,3,1,2
122,113,Computer,2,1024,1
123,113,Computer,3,1,2
124,114,Computer,2,1024,1
125,114,Computer,3,1,2
126,115,Computer,2,1024,1
127,115,Computer,3,1,2
128,116,Computer,2,1024,1
129,116,Computer,3,1,2
130,119,Computer,2,1024,1
131,119,Computer,3,1,2
132,120,Computer,12,2048,1
133,120,Computer,9,1024,2
134,120,Computer,3,4,3
135,121,Computer,9,1024,1
136,121,Computer,3,4,2
137,122,Computer,9,1024,1
138,122,Computer,3,4,2
139,123,Computer,9,1024,1
140,123,Computer,3,4,2
141,124,Computer,12,2048,1
142,124,Computer,9,1024,2
143,124,Computer,3,4,3
144,125,Computer,5,2048,1
145,125,Computer,6,2048,2
146,126,Computer,12,2048,1
147,126,Computer,9,1024,2
148,126,Computer,3,4,3
149,127,Computer,2,1024,1
150,127,Computer,3,1,2
151,128,Computer,12,2048,1
152,128,Computer,9,1024,2
153,128,Computer,3,1,3
154,129,Computer,9,1024,1
155,129,Computer,3,4,2
156,130,Computer,12,2048,1
157,130,Computer,9,1024,2
158,130,Computer,3,4,3
159,131,Computer,9,1024,1
160,131,Computer,3,4,2
161,132,Computer,12,2048,1
162,132,Computer,9,1024,2
163,132,Computer,3,4,3
164,133,Computer,12,2048,1
165,133,Computer,9,1024,2
166,133,Computer,3,4,3
167,134,Computer,9,1024,1
168,134,Computer,3,4,2
169,135,Computer,1,2048,1
170,137,Computer,1,2048,1
171,138,Computer,1,2048,1
172,139,Computer,1,2048,1
173,141,Computer,9,1024,1
174,141,Computer,3,4,2
175,142,Computer,9,1024,1
176,142,Computer,3,4,2
177,143,Computer,10,512,1
178,143,Computer,11,512,2
179,143,Computer,3,1,3
180,144,Computer,13,36,4
181,144,Computer,14,1024,3
182,144,Computer,15,2048,2
183,144,Computer,16,2048,2
184,145,Computer,12,2048,1
185,145,Computer,9,1024,2
186,145,Computer,3,4,3
187,146,Computer,13,36,4
188,146,Computer,14,1024,3
189,146,Computer,15,2048,2
190,146,Computer,16,2048,2
191,148,Computer,9,1024,1
192,148,Computer,3,4,2
193,151,Computer,9,1024,1
194,151,Computer,3,4,2
195,153,Computer,9,1024,1
196,153,Computer,3,4,2
197,154,Computer,2,1024,1
198,154,Computer,3,1,2
199,155,Computer,9,1024,1
200,155,Computer,3,4,2
201,156,Computer,9,1024,1
202,156,Computer,3,4,2
203,157,Computer,9,1024,1
204,157,Computer,3,4,2
205,158,Computer,9,1024,1
206,158,Computer,3,4,2
207,159,Computer,12,2048,1
208,159,Computer,9,1024,2
209,159,Computer,3,4,3
210,160,Computer,4,1024,1
211,160,Computer,3,1,2
212,162,Computer,9,1024,1
213,162,Computer,3,4,2
214,163,Computer,2,1024,1
215,163,Computer,3,1,2
216,164,Computer,9,1024,1
217,164,Computer,3,4,2
218,165,Computer,9,1024,1
219,165,Computer,3,4,2
220,166,Computer,13,36,4
221,166,Computer,14,1024,3
222,167,Computer,5,2048,1
223,167,Computer,6,2048,2
224,168,Computer,9,1024,1
225,168,Computer,3,4,2
226,169,Computer,9,1024,1
227,169,Computer,3,4,2
228,170,Computer,10,512,1
229,170,Computer,11,512,2
230,170,Computer,3,1,3
231,171,Computer,9,1024,1
232,171,Computer,3,4,2
233,173,Computer,2,1024,1
234,173,Computer,3,1,2
235,175,Computer,9,1024,1
236,175,Computer,3,4,2
237,176,Computer,2,1024,1
238,176,Computer,3,1,2
239,177,Computer,9,1024,1
240,177,Computer,3,4,2
241,178,Computer,2,1024,1
242,178,Computer,3,1,2
243,180,Computer,2,1024,1
244,180,Computer,3,1,2
245,181,Computer,10,512,1
246,181,Computer,11,512,2
247,181,Computer,3,1,3
248,182,Computer,10,512,1
249,182,Computer,11,512,2
250,182,Computer,3,1,3
251,186,Computer,2,1024,1
252,186,Computer,3,1,2
253,187,Computer,10,512,1
254,187,Computer,11,512,2
255,187,Computer,3,1,3
256,190,Computer,2,1024,1
257,190,Computer,3,1,2
258,191,Computer,7,256,1
259,191,Computer,8,256,2
260,191,Computer,3,1,3
261,192,Computer,10,512,1
262,192,Computer,11,512,2
263,192,Computer,3,1,3
264,193,Computer,10,1024,1
265,193,Computer,11,1024,2
266,193,Computer,3,1,3
267,195,Computer,2,1024,1
268,195,Computer,3,1,2
269,201,Computer,10,512,1
270,201,Computer,11,512,2
271,201,Computer,3,1,3
272,202,Computer,9,2048,1
273,202,Computer,3,1,2
274,204,Computer,9,1024,1
275,204,Computer,3,4,2
276,206,Computer,10,512,1
277,206,Computer,11,512,2
278,206,Computer,3,1,3
279,208,Computer,2,1024,1
280,208,Computer,3,1,2
281,211,Computer,7,256,1
282,211,Computer,8,256,2
283,211,Computer,3,1,3
284,213,Computer,10,512,1
285,213,Computer,11,512,2
286,213,Computer,3,1,3
287,214,Computer,9,1024,1
288,214,Computer,3,4,2
289,215,Computer,7,256,1
290,215,Computer,8,256,2
291,215,Computer,3,1,3
292,218,Computer,9,1024,1
293,218,Computer,3,4,2
294,219,Computer,7,256,1
295,219,Computer,8,256,2
296,219,Computer,3,1,3
297,224,Computer,9,1024,1
298,224,Computer,3,4,2
299,232,Computer,10,1024,1
300,232,Computer,3,1,2
301,240,Computer,10,512,1
302,240,Computer,11,512,2
303,240,Computer,3,1,3
304,242,Computer,9,1024,1
305,242,Computer,3,4,2
306,243,Computer,9,1024,1
307,243,Computer,3,4,2
308,244,Computer,9,1024,1
309,244,Computer,3,4,2
310,246,Computer,2,1024,1
311,246,Computer,3,1,2
312,247,Computer,9,1024,1
313,247,Computer,3,4,2
314,248,Computer,2,1024,1
315,248,Computer,3,1,2
316,249,Computer,2,1024,1
317,249,Computer,3,1,2
318,251,Computer,7,256,1
319,251,Computer,8,256,2
320,251,Computer,3,1,3
321,254,Computer,2,1024,1
322,254,Computer,3,1,2
323,255,Computer,13,33,4
324,255,Computer,15,512,2
325,255,Computer,16,512,2
326,255,Computer,17,512,0
327,258,Computer,7,256,1
328,258,Computer,8,256,2
329,258,Computer,3,1,3
330,262,Computer,2,1024,1
331,262,Computer,3,1,2
332,263,Computer,9,1024,1
333,263,Computer,3,4,2
334,264,Computer,9,1024,1
335,264,Computer,3,4,2
336,265,Computer,2,1024,1
337,265,Computer,3,1,2
338,266,Computer,2,1024,1
339,266,Computer,3,1,2
340,267,Computer,10,512,1
341,267,Computer,11,512,2
342,267,Computer,3,1,3
343,268,Computer,9,1024,1
344,268,Computer,3,4,2
345,271,Computer,10,512,1
346,271,Computer,11,512,2
347,271,Computer,3,1,3
348,273,Computer,2,1024,1
349,273,Computer,3,1,2
350,285,Computer,7,256,1
351,285,Computer,8,256,2
352,285,Computer,3,1,3
353,286,Computer,2,1024,1
354,286,Computer,3,1,2
355,288,Computer,12,2048,1
356,288,Computer,9,1024,2
357,288,Computer,3,4,3
358,290,Computer,10,512,1
359,290,Computer,11,512,2
360,290,Computer,3,1,3
361,291,Computer,10,512,1
362,291,Computer,18,512,2
363,291,Computer,3,1,3
364,292,Computer,10,512,1
365,292,Computer,11,512,2
366,292,Computer,3,1,3
367,294,Computer,10,512,1
368,294,Computer,11,512,2
369,294,Computer,3,1,3
370,295,Computer,10,512,1
371,295,Computer,11,512,2
372,295,Computer,3,1,3
373,296,Computer,10,512,1
374,296,Computer,11,512,2
375,296,Computer,3,1,3
