id,items_id,itemtype,operatingsystems_id,operatingsystemkernelversions_id
1,2,"computer",4,3
2,4,"computer",4,3
3,5,"computer",4,3
4,6,"computer",4,3
5,7,"computer",4,3
6,8,"computer",4,3
7,9,"computer",4,3
8,10,"computer",4,3
9,11,"computer",4,3
10,12,"computer",4,3
11,17,"computer",4,3
12,18,"computer",6,1
13,19,"computer",6,1
14,20,"computer",4,3
15,24,"computer",6,1
16,25,"computer",6,1
17,26,"computer",6,1
18,29,"computer",6,1
19,31,"computer",6,1
20,32,"computer",4,3
21,35,"computer",4,3
22,37,"computer",4,3
23,38,"computer",4,3
24,39,"computer",4,3
25,40,"computer",4,3
26,42,"computer",4,3
27,43,"computer",6,1
28,44,"computer",4,3
29,46,"computer",6,1
30,47,"computer",6,1
31,52,"computer",6,1
32,53,"computer",6,1
33,54,"computer",6,1
34,60,"computer",6,1
35,64,"computer",6,1
36,67,"computer",6,1
37,71,"computer",6,1
38,73,"computer",6,1
39,74,"computer",6,1
40,75,"computer",6,1
41,77,"computer",4,3
42,79,"computer",6,1
43,83,"computer",6,1
44,84,"computer",6,1
45,88,"computer",6,1
46,89,"computer",6,1
47,91,"computer",6,1
48,93,"computer",6,1
49,94,"computer",6,1
50,95,"computer",6,1
51,96,"computer",6,1
52,98,"computer",4,3
53,100,"computer",6,1
54,101,"computer",6,1
55,102,"computer",4,3
56,103,"computer",6,1
57,104,"computer",6,1
58,105,"computer",6,1
59,106,"computer",6,1
60,107,"computer",6,1
61,108,"computer",6,1
62,110,"computer",6,1
63,112,"computer",6,1
64,113,"computer",6,1
65,114,"computer",6,1
66,115,"computer",6,1
67,116,"computer",6,1
68,119,"computer",6,1
69,120,"computer",6,1
70,121,"computer",6,1
71,122,"computer",6,1
72,123,"computer",6,1
73,124,"computer",6,1
74,125,"computer",4,3
75,126,"computer",6,1
76,127,"computer",6,1
77,128,"computer",6,1
78,129,"computer",6,1
79,130,"computer",6,1
80,131,"computer",6,1
81,132,"computer",6,1
82,133,"computer",6,1
83,134,"computer",6,1
84,135,"computer",4,3
85,137,"computer",4,3
86,138,"computer",4,3
87,139,"computer",4,3
88,141,"computer",6,1
89,142,"computer",6,1
90,143,"computer",6,1
91,144,"computer",6,2
92,145,"computer",6,1
93,146,"computer",6,2
94,148,"computer",6,1
95,151,"computer",6,1
96,153,"computer",6,1
97,154,"computer",6,1
98,155,"computer",6,1
99,156,"computer",6,1
100,157,"computer",6,1
101,158,"computer",6,1
102,159,"computer",6,1
103,160,"computer",6,1
104,162,"computer",6,1
105,163,"computer",6,1
106,164,"computer",6,1
107,165,"computer",6,1
108,166,"computer",6,2
109,167,"computer",4,3
110,168,"computer",6,1
111,169,"computer",6,1
112,170,"computer",6,1
113,171,"computer",6,1
114,173,"computer",6,1
115,175,"computer",6,1
116,176,"computer",6,1
117,177,"computer",6,1
118,178,"computer",6,1
119,180,"computer",6,1
120,181,"computer",6,1
121,182,"computer",6,1
122,186,"computer",6,1
123,187,"computer",6,1
124,190,"computer",6,1
125,191,"computer",6,1
126,192,"computer",6,1
127,193,"computer",6,1
128,195,"computer",6,1
129,201,"computer",6,1
130,202,"computer",4,3
131,204,"computer",6,1
132,206,"computer",6,1
133,208,"computer",6,1
134,211,"computer",6,1
135,213,"computer",6,1
136,214,"computer",6,1
137,215,"computer",6,1
138,218,"computer",6,1
139,219,"computer",6,1
140,224,"computer",6,1
141,232,"computer",6,1
142,240,"computer",6,1
143,242,"computer",6,1
144,243,"computer",6,1
145,244,"computer",6,1
146,246,"computer",6,1
147,247,"computer",6,1
148,248,"computer",6,1
149,249,"computer",6,1
150,251,"computer",6,1
151,254,"computer",6,1
152,255,"computer",6,2
153,258,"computer",6,1
154,262,"computer",6,1
155,263,"computer",6,1
156,264,"computer",6,1
157,265,"computer",6,1
158,266,"computer",6,1
159,267,"computer",6,1
160,268,"computer",6,1
161,271,"computer",6,1
162,273,"computer",6,1
163,285,"computer",6,1
164,286,"computer",6,1
165,288,"computer",6,1
166,290,"computer",6,1
167,291,"computer",6,1
168,292,"computer",6,1
169,294,"computer",6,1
170,295,"computer",6,1
171,296,"computer",6,1
172,297,"computer",6,1
173,302,"computer",6,1
174,303,"computer",6,1
175,308,"computer",6,1
176,311,"computer",6,5
177,314,"computer",6,1
178,316,"computer",6,1
179,319,"computer",6,1
180,322,"computer",6,1
